error max,S02,5,3
error max,S03,3,3
error max,M01,20,3
error max,S04,5,3
error max,M02,5,3
error max,S06,3,3
error max,S07,3,3
error max,S08,3,3
error max,S09,3,3
error max,S10,3,3
error max,S11,3,3
error max,S12,3,3
error max,M03,13,3
error max,M04,4,3
error max,M05,5,3
error max,S14,3,3
error max,S15,3,3
error max,S16,3,3
error max,S17,3,3
error max,S18,3,3
error max,S19,3,3
error max,S20,3,3
error max,M06,13,3
error max,M07,4,3
error max,S21,3,3
error max,A01,9,3
error max,A02,11,3
error max,M08,25,3
error max,M09,9,3
error max,A03,9,3
error max,A04,9,3
error max,M10,25,3
error max,A05,4,3
error max,A06,4,3
error max,A07,4,3
error max,A08,4,3
error max,A09,4,3
error max,A10,4,3
error max,M11,10,3
error max,M12,4,3
error max,EEE,1,4
